Название,Профиль,Уровень
«Аксиос» - многопрофильная олимпиада ПСТГУ,литература,3
,обществознание,3
«Учись строить будущее»,архитектурная графика,2
"XI Южно-Российская межрегиональная олимпиада школьников «Архитектура и искусство» по комплексу предметов (рисунок, живопись, композиция, черчение)","искусство, черчение",2
"Всероссийская олимпиада по финансовой грамотности, финансовому рынку и защите прав потребителей финансовых услуг",экономика,2
Всероссийская олимпиада учащихся музыкальных училищ,хоровое дирижирование,2
,инструменты народного оркестра,2
,струнные инструменты,3
,теория и история музыки,2
,музыкальная педагогика и исполнительство,3
Всероссийская олимпиада школьников «Миссия выполнима. Твое призвание-финансист!»,математика,3
,обществознание,3
,экономика,3
Всероссийская олимпиада школьников «Нанотехнологии – прорыв в будущее!»,нанотехнологии,1
Всероссийская Толстовская олимпиада школьников,история,2
,обществознание,3
Всероссийский конкурс научных работ школьников «Юниор»,естественные науки,3
,инженерные науки,3
Всесибирская открытая олимпиада школьников,биология,2
,информатика,1
,математика,2
,физика,2
,химия,1
Герценовская олимпиада школьников,география,3
,иностранный язык,2
Городская открытая олимпиада школьников по физике,физика,2
Государственный аудит,обществознание,2
Инженерная олимпиада школьников,физика,2
Интернет-олимпиада школьников по физике,физика,1
Кутафинская олимпиада школьников по праву,право,2
Межвузовская олимпиада школьников «Первый успех»,педагогические науки и образование,2
Междисциплинарная олимпиада школьников имени В.И. Вернадского,гуманитарные и социальные науки,2
Международная олимпиада школьников «Искусство графики»,рисунок,2
Межрегиональная олимпиада по праву «ФЕМИДА»,право,2
"Межрегиональная олимпиада школьников «Архитектура и искусство» по комплексу предметов (рисунок, композиция)",искусство,3
Межрегиональная олимпиада школьников «Будущие исследователи - будущее науки»,биология,2
,история,2
,математика,3
,русский язык,2
,физика,3
,химия,2
Межрегиональная олимпиада школьников «Высшая проба»,востоковедение,2
,дизайн,1
,журналистика,1
,иностранный язык,1
,восточные языки,2
,электроника и вычислительная техника,3
,информатика,2
,история,1
,история мировых цивилизаций,1
,математика,1
,основы бизнеса,3
,обществознание,1
,политология,2
,право,1
,психология,3
,русский язык,1
,социология,1
,физика,2
,филология,1
,философия,1
,экономика,1
,финансовая грамотность,2
Межрегиональная олимпиада школьников «Евразийская лингвистическая олимпиада»,иностранный язык,2
Межрегиональная олимпиада школьников «САММАТ»,математика,2
Межрегиональная олимпиада школьников им. В.Е. Татлина,рисунок,2
,композиция,2
,графика,2
Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций,иностранный язык,2
,математика,2
,физика,3
Межрегиональная олимпиада школьников им. И.Я. Верченко,компьютерная безопасность,2
,криптография,1
Межрегиональная отраслевая олимпиада школьников «Паруса надежды»,техника и технологии,3
Межрегиональная экономическая олимпиада школьников имени Н.Д. Кондратьева,экономика,1
Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования «Казанский (Приволжский) федеральный университет»,физика,3
,химия,3
Многопредметная олимпиада «Юные таланты»,география,1
,химия,1
Многопрофильная инженерная олимпиада «Звезда»,естественные науки,3
Многопрофильная олимпиада школьников Уральского федерального университета «Изумруд»,история,3
,обществознание,3
,русский язык,3
,физика,3
Московская олимпиада школьников,астрономия,2
,география,2
,информатика,1
,история искусства,2
,изобразительное искусство,2
,история,2
,филология,2
,математика,1
,обществознание,2
,право,3
,лингвистика,1
,физика,1
,химия,1
,экономика,2
Общероссийская олимпиада школьников «Основы православной культуры»,основы православной культуры,2
Объединённая межвузовская математическая олимпиада школьников,математика,2
Объединённая международная математическая олимпиада «Формула Единства» / «Третье тысячелетие»,математика,3
Океан знаний,история,3
,математика,3
,обществознание,3
,русский язык,3
Олимпиада Курчатов,математика,2
,физика,2
Олимпиада МГИМО МИД России для школьников,гуманитарные и социальные науки,2
Олимпиада Национальной технологической инициативы,системы связи и дистанционного зондирования Земли,3
,интеллектуальные робототехнические системы,3
,беспилотные авиационные системы,3
,технологии беспроводной связи,3
,нейротехнологии,3
,наносистемы и наноинженерия,3
,инженерные биологические системы,3
,умный город,3
,программная инженерия финансовых технологий,3
,водные робототехнические системы,3
,интеллектуальные энергетические системы,3
,разработка приложений виртуальной и дополненной реальности,3
,большие данные и машинное обучение,3
Олимпиада по дискретной математике и теоретической информатике,информатика,3
Олимпиада по комплексу предметов «Культура и искусство»,технический рисунок и декоративная композиция,1
,"академический рисунок, живопись, композиция, история искусства и культуры",2
Олимпиада школьников «Гранит науки»,естественные науки,3
Олимпиада школьников «Ломоносов»,биология,1
,география,1
,геология,2
,журналистика,1
,иностранный язык,1
,информатика,1
,политология,2
,международные отношения и глобалистика,1
,история российской государственности,1
,история,1
,литература,1
,математика,1
,философия,1
,обществознание,1
,экология,2
,психология,1
,русский язык,1
,физика,2
,инженерные науки,3
,космонавтика,3
,механика и математическое моделирование,2
,робототехника,3
,химия,1
,право,1
Олимпиада школьников «Надежда энергетики»,информатика,3
,математика,3
,физика,3
Олимпиада школьников «Покори Воробьёвы горы!»,биология,1
,география,2
,журналистика,1
,иностранный язык,1
,история,2
,литература,1
,математика,1
,обществознание,1
,физика,1
Олимпиада школьников «Робофест»,физика,2
Олимпиада школьников «Физтех»,математика,2
,физика,1
Олимпиада школьников «Шаг в будущее»,математика,3
,инженерное дело,2
Олимпиада школьников по программированию «ТехноКубок»,информатика,2
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,иностранный язык,3
,журналистика,2
,история,2
,обществознание,1
,политология,2
,экономика,3
Олимпиада школьников Санкт-Петербургского государственного университета,биология,1
,география,1
,журналистика,1
,иностранный язык,1
,китайский язык,2
,филология,2
,информатика,2
,история,1
,медицина,2
,математика,1
,обществознание,1
,социология,1
,право,1
,инженерные системы,3
,физика,3
,химия,1
,экономика,2
Олимпиада Юношеской математической школы,математика,2
Открытая межвузовская олимпиада школьников Сибирского Федерального округа «Будущее Сибири»,физика,3
Открытая Олимпиада Университета Иннополис для школьников,информатика,1
,математика,3
Открытая олимпиада школьников,информационные технологии,1
,математика,3
Открытая олимпиада школьников по программированию,информатика,1
Открытая олимпиада школьников по программированию «Когнитивные технологии»,информатика,2
Открытая химическая олимпиада,химия,3
Отраслевая физико-математическая олимпиада школьников «Росатом»,математика,2
,физика,1
Плехановская олимпиада школьников,английский язык,2
,финансовая грамотность,3
,русский язык,3
,экономика,3
Санкт-Петербургская олимпиада школьников,астрономия,1
,математика,1
,химия,2
Северо-Восточная олимпиада школьников,филология,3
Сибирская межрегиональная олимпиада школьников «Архитектурно-дизайнерское творчество»,"архитектура, изобразительные и прикладные виды искусств",2
Строгановская олимпиада на базе МГХПА им. С.Г. Строганова,"рисунок, живопись, скульптура, дизайн",1
Телевизионная гуманитарная олимпиада школьников «Умницы и умники»,гуманитарные и социальные науки,1
Турнир городов,математика,1
Турнир имени М.В. Ломоносова,астрономия и науки о Земле,3
,биология,3
,история,2
,литература,2
,математика,2
,лингвистика,2
,физика,2
,химия,3
Учитель школы будущего,иностранный язык,2
Филологическая олимпиада ОмГУ им. Ф.М. Достоевского для школьников,филология,3
Олимпиада школьников по информатике и программированию,информатика,1
Олимпиада РГГУ для школьников,история,3
Всероссийская Сеченовская олимпиада школьников,медицина,3
Отраслевая олимпиада школьников «Газпром»,физика,3
